dia_juliano,mes,dia,q95,q90,q85,q80,q75,q70,q65,q60,q55,q50
320,11,16,132.84,156.86,184.58,213.29,239.93,273.43,301.57,325.11,359.67,392.94
321,11,17,132.84,156.86,181.76,210.38,237.66,271.31,298.41,323.88,353.1,386.24
322,11,18,130.23,154.15,178.95,207.48,233.95,269.03,295.26,320.67,346.8,383.5
323,11,19,130.23,154.15,176.15,204.58,233.95,267.26,292.12,314.81,343.3,376.22
324,11,20,130.23,154.15,173.37,203.1,230.97,264.19,288.98,311.27,338.94,372.9
325,11,21,130.23,151.44,173.37,199.78,228.0,261.13,286.57,308.31,336.11,369.5
326,11,22,127.64,151.26,170.59,198.82,225.04,258.08,285.86,307.9,333.56,366.27
327,11,23,127.64,148.75,170.59,195.95,223.7,255.06,282.74,306.24,329.94,364.0
328,11,24,127.64,148.75,167.82,193.09,222.09,255.03,281.92,304.2,327.1,362.97
329,11,25,125.05,147.93,165.74,193.09,219.15,251.99,279.34,301.57,325.45,359.67
330,11,26,125.05,146.07,165.07,192.91,216.22,249.29,276.52,301.57,323.88,356.38
331,11,27,122.47,146.07,165.07,190.24,216.22,248.09,273.43,297.14,323.88,353.94
332,11,28,122.47,146.07,165.07,189.52,216.22,245.94,273.43,295.26,321.9,353.1
333,11,29,122.47,143.4,165.07,187.41,213.92,245.25,272.53,293.74,320.63,350.34
334,11,30,119.91,143.4,165.07,187.41,213.29,244.45,270.34,292.12,317.7,349.83
335,12,1,119.91,143.4,165.07,187.41,213.29,242.93,269.03,292.12,317.47,349.83
336,12,2,117.36,140.75,163.0,187.41,213.29,242.65,267.26,288.98,314.81,349.83
337,12,3,114.83,140.75,162.32,184.58,210.38,240.45,267.26,288.98,314.27,348.96
338,12,4,114.83,140.75,162.32,184.58,210.38,239.93,265.95,288.98,314.27,346.56
339,12,5,114.83,138.1,162.32,184.58,210.04,239.93,264.19,288.98,314.27,346.56
340,12,6,114.83,138.1,162.32,181.76,209.65,239.93,264.19,288.98,314.27,346.56
341,12,7,112.3,138.1,161.6,181.76,207.48,238.13,262.61,286.05,312.64,343.3
342,12,8,112.3,135.47,159.58,181.76,207.47,236.02,262.03,285.86,311.08,343.24
343,12,9,112.3,135.47,159.58,181.76,207.47,233.95,261.13,282.74,309.62,340.04
344,12,10,114.83,135.47,156.86,179.87,204.58,233.95,261.13,282.74,309.62,340.04
345,12,11,114.83,132.84,156.86,178.95,204.58,232.71,261.13,282.74,308.26,340.04
346,12,12,114.83,132.84,156.86,178.95,203.18,232.71,261.13,282.74,307.9,339.67
347,12,13,112.3,132.84,155.63,178.95,203.18,233.95,261.13,282.74,307.9,336.8
348,12,14,114.83,132.84,154.15,177.56,203.18,232.7,260.43,282.74,307.9,336.8
349,12,15,114.83,132.84,154.15,177.04,203.18,230.97,258.54,282.69,307.9,336.8
350,12,16,112.3,132.84,154.15,177.56,203.18,230.97,258.08,282.69,307.9,336.8
351,12,17,112.3,132.84,154.15,178.95,203.1,230.97,258.08,282.69,307.9,336.8
352,12,18,112.3,132.84,154.15,178.95,203.1,230.97,258.08,282.69,307.73,336.8
353,12,19,112.3,132.84,154.15,178.95,203.1,230.97,258.08,282.69,307.73,336.8
354,12,20,112.3,132.84,154.15,177.85,203.1,230.97,258.08,282.69,304.73,336.11
355,12,21,112.3,130.23,154.15,177.59,203.1,230.97,258.08,279.62,304.73,333.56
356,12,22,112.3,130.23,154.15,177.59,201.69,230.97,258.08,279.62,301.57,333.56
357,12,23,112.3,130.23,154.15,177.59,201.69,230.97,255.03,279.34,301.57,330.32
358,12,24,109.79,130.23,154.15,177.59,201.69,230.97,255.03,276.52,299.5,329.0
359,12,25,109.79,130.23,154.15,177.56,201.69,230.74,255.03,276.52,299.5,327.1
360,12,26,109.79,130.23,156.86,177.04,201.69,228.0,255.03,276.52,299.5,327.1
361,12,27,109.79,130.23,156.86,177.59,201.69,228.0,255.03,276.52,298.41,327.1
362,12,28,109.79,130.23,156.86,177.59,201.69,228.0,255.03,276.52,299.5,327.1
363,12,29,109.79,130.23,156.86,177.59,201.69,227.28,252.62,276.52,299.5,327.1
364,12,30,112.3,132.84,156.86,177.85,201.69,227.28,251.99,276.52,298.41,327.1
365,12,31,112.3,132.84,156.86,178.73,201.69,225.73,251.99,276.5,298.41,327.1
